City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,portland,45.5234,-122.6762,14.3,86,12,1.34,US,1687869540
84,vorgashor,67.5833,63.95,12.02,55,99,2.93,RU,1687870114
85,iqaluit,63.7506,-68.5145,3.72,93,91,2.24,CA,1687870114
86,nagqu,31.5,92.0,4.3,90,100,7.26,CN,1687870114
87,petropavlovsk-kamchatsky,53.0452,158.6483,18.21,59,100,2.15,RU,1687870114
88,fort mcmurray,56.7268,-111.381,14.42,93,6,1.39,CA,1687869922
89,constitucion,-35.3333,-72.4167,10.82,87,7,1.41,CL,1687870115
90,queenstown,-31.8976,26.8753,12.23,80,65,4.48,ZA,1687870115
91,namibe,-15.1961,12.1522,21.86,48,57,6.44,AO,1687870115
92,grand baie,-20.0182,57.5802,24.69,55,42,1.79,MU,1687870115
93,tolanaro,-25.0319,46.9987,21.85,62,0,4.88,MG,1687870115
94,san andres,12.5847,-81.7006,27.54,77,100,2.84,CO,1687870115
95,blackmans bay,-43.0167,147.3167,8.74,78,100,3.92,AU,1687870115
96,mendi,-6.1761,143.6513,13.49,98,42,0.74,PG,1687870115
97,horta,38.5333,-28.6333,22.79,77,4,3.13,PT,1687869964
98,sisimiut,66.9395,-53.6735,5.39,74,88,11.06,GL,1687870115
99,tralee,52.2704,-9.7026,18.31,88,100,4.48,IE,1687870115
100,marquette,46.5333,-87.6335,14.32,88,0,3.13,US,1687870116
101,kiunga,-6.1219,141.2906,23.39,98,95,0.84,PG,1687870116
102,bakanas,44.8081,76.2772,35.16,10,0,8.66,KZ,1687870116
103,carnarvon,-24.8667,113.6333,15.55,48,0,8.59,AU,1687870116
104,daru,-9.0763,143.2092,25.25,84,99,7.09,PG,1687870116
105,port alfred,-33.5906,26.891,17.32,81,100,3.13,ZA,1687870116
106,vrontados,38.4089,26.1328,26.59,61,0,6.87,GR,1687870116
107,badger,64.8,-147.5333,13.62,80,100,0.22,US,1687870116
108,papao,-17.75,-149.55,23.7,81,17,8.79,PF,1687870116
109,finspang,58.7058,15.7674,23.39,41,84,3.56,SE,1687870116
110,kamiiso,41.8167,140.65,19.16,99,100,1.75,JP,1687870116
111,lescar,43.3333,-0.4167,22.66,72,85,1.42,FR,1687870116
112,aldama,22.9167,-98.0667,26.32,88,100,1.39,MX,1687870116
113,newman,37.3138,-121.0208,14.05,84,98,0.89,US,1687870078
114,port mathurin,-19.6833,63.4167,22.51,57,94,4.29,MU,1687870117
115,broome,42.2506,-75.833,20.01,89,100,1.34,US,1687870117
116,san antonio de pale,-1.4014,5.6325,24.34,83,2,6.08,GQ,1687870117
117,fortuna,40.5982,-124.1573,11.63,96,100,1.24,US,1687870117
118,twin falls,42.3505,-114.6445,11.07,67,100,1.67,US,1687870117
119,yanam,16.7333,82.2167,30.19,68,100,2.15,IN,1687870117
120,pathein,16.7833,94.7333,27.69,83,50,1.74,MM,1687870117
121,puerto baquerizo moreno,-0.9,-89.6,24.81,77,100,3.54,EC,1687870117
122,dryden,49.7833,-92.7503,15.75,73,77,2.21,CA,1687869662
123,stanley,54.868,-1.6985,14.29,91,100,4.39,GB,1687870117
124,talnakh,69.4865,88.3972,15.67,46,76,3.02,RU,1687870117
125,lagoa,39.05,-27.9833,19.62,86,8,6.27,PT,1687870118
126,cabo san lucas,22.8909,-109.9124,25.9,77,65,2.24,MX,1687870090
127,urangan,-25.3,152.9,17.87,65,4,2.0,AU,1687870118
128,bairnsdale,-37.8333,147.6167,6.7,86,100,2.5,AU,1687870118
129,kavaratti,10.5669,72.642,27.16,78,100,7.42,IN,1687870118
130,vilyuysk,63.7553,121.6247,17.74,60,0,0.15,RU,1687870118
131,marquard,-28.6645,27.4305,17.73,25,0,6.08,ZA,1687870118
132,kovur,14.4833,79.9833,35.36,35,100,5.24,IN,1687870118
133,margaret river,-33.95,115.0667,13.36,70,100,3.05,AU,1687870118
134,torghay,49.6339,63.4981,16.28,62,100,9.35,KZ,1687870118
135,vorotynets,56.0603,45.8633,22.31,47,32,1.08,RU,1687870118
136,zorgo,12.2489,-0.6158,35.26,36,100,2.93,BF,1687870118
137,zav'yalovo,56.7847,53.3776,19.11,75,76,2.86,RU,1687870118
138,jamestown,42.097,-79.2353,19.45,69,100,4.47,US,1687870119
139,mugia,43.1041,-9.2179,27.31,74,46,10.45,ES,1687870119
140,pervomayskoye,43.919,46.7102,31.2,36,97,1.47,RU,1687870119
141,evanston,42.0411,-87.6901,18.39,78,0,1.34,US,1687870119
142,thurso,58.5927,-3.5259,14.92,82,100,6.21,GB,1687870119
143,remire-montjoly,4.9167,-52.2667,28.15,76,20,4.79,GF,1687870120
144,hadibu,12.65,54.0333,28.31,67,62,9.91,YE,1687870120
145,zouerate,22.7187,-12.4521,39.94,8,0,7.8,MR,1687870120
146,la'ie,21.6477,-157.9253,24.38,76,13,3.58,US,1687870120
147,longyearbyen,78.2186,15.6401,7.86,94,96,0.68,SJ,1687870120
148,karasuk,53.7377,78.0403,23.16,36,100,6.64,RU,1687870120
149,vilyuchinsk,52.9306,158.4028,19.03,64,100,2.44,RU,1687870120
150,invercargill,-46.4,168.35,10.1,96,100,3.4,NZ,1687869522
151,necochea,-38.5473,-58.7368,9.91,55,31,0.22,AR,1687870121
152,ilulissat,69.2167,-51.1,2.01,98,100,3.51,GL,1687870121
153,luderitz,-26.6481,15.1594,15.12,74,54,8.72,NA,1687870121
154,ciudad bolivar,8.1222,-63.5497,28.93,66,34,2.43,VE,1687870121
155,qaqortoq,60.7167,-46.0333,8.34,71,99,2.24,GL,1687870121
156,meadow lakes,61.6247,-149.6011,10.04,94,100,0.68,US,1687870121
157,miles city,46.4083,-105.8406,17.84,77,43,2.38,US,1687870121
158,chernyshevsk,52.5243,117.0174,16.55,89,100,3.98,RU,1687870121
159,kuusamo,65.9667,29.1833,16.24,85,100,0.7,FI,1687869960
160,port elizabeth,-33.918,25.5701,17.28,89,100,2.68,ZA,1687870121
161,bandarbeyla,9.4942,50.8122,27.05,65,4,14.31,SO,1687870122
162,lompoc,34.6391,-120.4579,13.77,79,72,7.6,US,1687870122
163,kapuskasing,49.4169,-82.4331,9.82,52,100,4.68,CA,1687869956
164,hawaiian paradise park,19.5933,-154.9731,21.61,99,53,3.1,US,1687870122
165,puerto ayacucho,5.6639,-67.6236,23.23,97,100,1.72,VE,1687870122
166,springbok,-29.6643,17.8865,11.17,56,100,8.5,ZA,1687870122
